Date,Price,Open,High,Low,Vol.,Change
12/27/2018,1277.4,1265.3,1277.5,1265.3,0.48K,0.66%
12/26/2018,1269,1268.5,1278.1,1263.8,0.40K,0.09%
12/24/2018,1267.9,1258.4,1269.6,1258.2,0.74K,1.06%
12/21/2018,1254.6,1260.6,1262,1254.2,0.66K,-0.74%
12/20/2018,1263.9,1244.3,1265.7,1242.3,0.77K,0.90%
12/19/2018,1252.6,1250,1258.2,1241.6,0.60K,0.20%
12/18/2018,1250.1,1246.3,1250.4,1246.1,0.23K,0.15%
12/17/2018,1248.2,1236.3,1248.3,1236.3,0.24K,0.83%
12/14/2018,1237.9,1242.3,1243.2,1233.1,0.38K,-0.47%
12/13/2018,1243.7,1245.5,1247.5,1241.2,0.33K,-0.19%
12/12/2018,1246.1,1244.9,1247.5,1243.7,0.43K,0.27%
12/11/2018,1242.8,1245.7,1250.5,1242.3,0.50K,-0.17%
12/10/2018,1244.9,1251.4,1251.8,1242.6,1.59K,-0.26%
12/07/2018,1248.2,1239.1,1251.4,1239.1,1.56K,0.69%
12/06/2018,1239.7,1240.6,1246.1,1236.9,1.64K,0.05%
12/05/2018,1239.1,1240.8,1241.1,1236.4,1.12K,-0.34%
12/04/2018,1243.3,1233.4,1244.5,1233.4,1.84K,0.52%
12/03/2018,1236.9,1225.4,1237.4,1224.2,0.94K,1.09%
11/30/2018,1223.6,1227.5,1228.6,1219.4,0.60K,-0.35%
11/29/2018,1227.9,1224.2,1232.2,1224.2,1.71K,0.35%
11/28/2018,1223.6,1214.3,1227.7,1210.5,247.17K,0.84%
11/27/2018,1213.4,1222.6,1225.2,1211.4,307.89K,-0.74%
11/26/2018,1222.4,1223.9,1228.6,1221.7,267.32K,-0.07%
11/23/2018,1223.2,1226.8,1229.7,1220.3,240.35K,0.00%
11/22/2018,1223.2,1227.8,1229.2,1220.3,240.35K,-0.39%
11/21/2018,1228,1222.4,1230.9,1220.1,227.21K,0.56%
11/20/2018,1221.2,1224.6,1229.5,1220.3,255.20K,-0.33%
11/19/2018,1225.3,1222.6,1226.5,1218.5,198.39K,0.19%
11/16/2018,1223,1214.4,1226,1213.7,242.04K,0.66%
11/15/2018,1215,1211.8,1217,1207.1,253.57K,0.40%
11/14/2018,1210.1,1202.8,1217.2,1198.1,277.87K,0.72%
11/13/2018,1201.4,1201.1,1205.5,1196.6,248.93K,-0.17%
11/12/2018,1203.5,1210.3,1212,1200.6,203.64K,-0.42%
11/09/2018,1208.6,1224.3,1224.6,1207.2,322.35K,-1.35%
11/08/2018,1225.1,1227.7,1228.5,1220.8,239.02K,-0.29%
11/07/2018,1228.7,1228.9,1238.4,1224.2,259.29K,0.20%
11/06/2018,1226.3,1233.4,1237.8,1224.9,199.67K,-0.49%
11/05/2018,1232.3,1234.5,1236.8,1228.4,159.43K,-0.08%
11/02/2018,1233.3,1235.3,1238.4,1231.3,256.02K,-0.43%
11/01/2018,1238.6,1216.6,1239.3,1216.1,313.45K,1.94%
10/31/2018,1215,1224.7,1225,1213.4,247.06K,-0.84%
10/30/2018,1225.3,1231.9,1232.5,1221.4,224.64K,0.05%
10/29/2018,1224.7,1232.6,1232.7,1223.6,0.21K,-0.62%
10/26/2018,1232.4,1229.8,1242.6,1229.8,0.28K,0.24%
10/25/2018,1229.5,1233.9,1238.4,1227.9,0.32K,0.09%
10/24/2018,1228.4,1230.7,1235.3,1225.9,0.37K,-0.46%
10/23/2018,1234.1,1223.1,1240.3,1222.7,0.34K,0.99%
10/22/2018,1222,1227.9,1228.5,1220.5,0.12K,-0.33%
10/19/2018,1226,1226.7,1231.2,1223.7,0.12K,-0.11%
10/18/2018,1227.4,1222.8,1230.2,1219.5,0.25K,0.21%
10/17/2018,1224.8,1226.4,1230,1221.6,0.21K,-0.29%
10/16/2018,1228.4,1228,1233.4,1224.5,0.34K,0.05%
10/15/2018,1227.8,1218.2,1234.3,1218.2,0.34K,0.68%
10/12/2018,1219.5,1224.4,1224.4,1217.1,0.30K,-0.46%
10/11/2018,1225.1,1195.3,1227,1192.3,0.98K,2.88%
